"Trait"	"Frequency"
"5-HTT brain serotonin transporter levels"	1
"Abdominal aortic aneurysm"	4
"Acenocoumarol maintenance dosage"	4
"Acne (severe)"	17
"Acoustic startle blink response"	6
"Activated partial thromboplastin time"	12
"Acute lymphoblastic leukemia (adolescents and young adults)"	1
"Acute lymphoblastic leukemia (B-cell precursor)"	6
"Acute lymphoblastic leukemia (childhood)"	63
"Acute urticaria and angioedema (non-steroidal anti-inflammatory drug-induced)"	9
"ADAMTS13 activity"	4
"Addiction"	16
"Adiponectin levels"	58
"Adiposity"	8
"Adolescent idiopathic scoliosis"	2
"Adolescent idiopathic scoliosis (severe)"	1
"Adverse response to aromatase inhibitors"	1
"Adverse response to carbamapezine"	1
"Adverse response to chemotherapy (neutropenia/leucopenia) (5-fluorouracil)"	4
"Adverse response to chemotherapy (neutropenia/leucopenia) (all anthracycline-based drugs)"	6
"Adverse response to chemotherapy (neutropenia/leucopenia) (all antimetabolite drugs)"	6
"Adverse response to chemotherapy (neutropenia/leucopenia) (all antimicrotubule drugs)"	12
"Adverse response to chemotherapy (neutropenia/leucopenia) (all platinum-based drugs)"	6
"Adverse response to chemotherapy (neutropenia/leucopenia) (all topoisomerase inhibitors)"	6
"Adverse response to chemotherapy (neutropenia/leucopenia) (camptothecin)"	3
"Adverse response to chemotherapy (neutropenia/leucopenia) (carboplatin)"	9
"Adverse response to chemotherapy (neutropenia/leucopenia) (cisplatin)"	7
"Adverse response to chemotherapy (neutropenia/leucopenia) (cyclophosphamide)"	3
"Adverse response to chemotherapy (neutropenia/leucopenia) (docetaxel)"	7
"Adverse response to chemotherapy (neutropenia/leucopenia) (doxorubicin)"	3
"Adverse response to chemotherapy (neutropenia/leucopenia) (epirubicin)"	5
"Adverse response to chemotherapy (neutropenia/leucopenia) (etoposide)"	4
"Adverse response to chemotherapy (neutropenia/leucopenia) (gemcitabine)"	5
"Adverse response to chemotherapy (neutropenia/leucopenia) (paclitaxel + carboplatin)"	7
"Adverse response to chemotherapy (neutropenia/leucopenia) (paclitaxel)"	8
"Adverse response to chemotherapy in breast cancer (alopecia)"	3
"Adverse response to chemotherapy in breast cancer (alopecia) (anti-microtubule)"	7
"Adverse response to chemotherapy in breast cancer (alopecia) (cyclophosphamide+doxorubicin+/-5FU)"	8
"Adverse response to chemotherapy in breast cancer (alopecia) (cyclophosphamide+epirubicin+/-5FU)"	3
"Adverse response to chemotherapy in breast cancer (alopecia) (docetaxel)"	4
"Adverse response to chemotherapy in breast cancer (alopecia) (paclitaxel)"	5
"Adverse response to lamotrigine and phenytoin"	12
"Adverse response to radiation therapy"	3
"Age at smoking initiation in chronic obstructive pulmonary disease"	21
"Age of smoking initiation"	8
"Age-related cataracts"	3
"Age-related cataracts (age at onset)"	3
"Age-related hearing impairment"	29
"Age-related hearing impairment (interaction)"	49
"Age-related macular degeneration"	94
"Age-related macular degeneration (CNV vs. GA)"	1
"Age-related macular degeneration (CNV)"	6
"Age-related macular degeneration (extreme sampling)"	3
"Age-related macular degeneration (GA)"	9
"Age-related macular degeneration (smoking status interaction)"	3
"Age-related macular degeneration (wet)"	1
"Age-related nuclear cataracts"	15
"Aggressive periodontitis (sex interaction)"	1
"Aging"	9
"Aging (facial)"	7
"Aging (time to death)"	3
"Aging (time to event)"	8
"Aging traits"	10
"AIDS"	7
"AIDS progression"	10
"Airflow obstruction"	30
"Airway hyperresponsiveness"	1
"Airway responsiveness in chronic obstructive pulmonary disease"	26
"Airway wall thickness"	19
"Alcohol and nictotine co-dependence"	9
"Alcohol consumption"	21
"Alcohol consumption (maxi-drinks)"	3
"Alcohol consumption (transferrin glycosylation)"	6
"Alcohol dependence"	29
"Alcohol dependence (age at onset)"	26
"Alcoholism (12-month weekly alcohol consumption)"	2
"Alcoholism (alcohol dependence factor score)"	6
"Alcoholism (alcohol use disorder factor score)"	6
"Alcoholism (heaviness of drinking)"	8
"Allergic dermatitis (nickel)"	2
"Allergic rhinitis"	35
"Allergic rhinitis in asthma"	1
"Allergic rhinitis in non-asthmatics"	7
"Allergic sensitization"	12
"Alloimmunization response to red blood cell transfusion in sickle cell anemia"	1
"Alopecia areata"	8
"Alzheimer's disease"	68
"Alzheimer's disease (age of onset)"	13
"Alzheimer's disease (cognitive decline)"	44
"Alzheimer's disease (late onset)"	67
"Alzheimer's disease (survival time)"	7
"Alzheimer's disease biomarkers"	24
"Amyloid A serum levels"	4
"Amyotrophic lateral sclerosis"	69
"Amyotrophic lateral sclerosis (age of onset)"	13
"Amyotrophic lateral sclerosis (sporadic)"	95
"Amyotrophic lateral sclerosis or frontotemporal dementia"	1
"Androgen levels"	6
"Anger"	14
"Angiotensin-converting enzyme activity"	2
"Ankle-brachial index"	2
"Ankylosing spondylitis"	27
"Anorexia nervosa"	26
"Anterior chamber depth"	1
"Anthropometric traits"	13
"Anthropometric traits in newborns"	5
"Anti-cyclic Citrullinated Peptide Antibody"	1
"Anti-saccade response"	5
"Antibody status in Tripanosoma cruzi seropositivity"	20
"Anticoagulant levels"	8
"Antineutrophil cytoplasmic antibody-associated vasculitis"	17
"Antinuclear antibody levels"	1
"Antipsychotic drug-induced weight gain"	1
"Antipsychotic-induced QTc interval prolongation"	3
"Anxiety and major depressive disorder"	3
"Anxiety disorder"	15
"Anxiety in major depressive disorder"	8
"Aortic root size"	13
"Aortic stiffness"	1
"Aortic-valve calcification"	1
"Apolipoprotein Levels"	3
"Arsenic metabolism"	2
"Arterial stiffness"	1
"Arthritis (juvenile idiopathic)"	6
"Asparaginase hypersensitivity in acute lymphoblastic leukemia"	1
"Aspartate aminotransferase"	1
"Asperger disorder"	5
"Aspirin exacerbated respiratory disease in asthmatics"	1
"Aspirin hydrolysis (plasma)"	1
"Asthma"	54
"Asthma (bronchodilator response)"	3
"Asthma (childhood onset)"	31
"Asthma (corticosteroid response)"	2
"Asthma (sex interaction)"	6
"Asthma (toluene diisocyanate-induced)"	3
"Asthma and hay fever"	21
"Asthma or chronic obstructive pulmonary disease"	3
"Asymmetrical dimethylarginine levels"	22
"Atopic dermatitis"	42
"Atopy"	1
"Atrial fibrillation"	21
"Atrial fibrillation/atrial flutter"	2
"Atrioventricular conduction"	5
"Attention deficit hyperactivity disorder"	75
"Attention deficit hyperactivity disorder (combined symptoms)"	21
"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	25
"Attention deficit hyperactivity disorder (inattention symptoms)"	22
"Attention deficit hyperactivity disorder (time to onset)"	11
"Attention deficit hyperactivity disorder and conduct disorder"	26
